SRA	Serovar
ERR2009611	Paratyphi C
ERR2009612	Paratyphi C
ERR2009613	Paratyphi C
ERR2009614	Paratyphi C
ERR2009615	Paratyphi C
ERR2009616	Paratyphi C
ERR2009617	Paratyphi C
ERR2009618	Paratyphi C
ERR2009619	Paratyphi C
ERR2009620	Paratyphi C
ERR2009621	Paratyphi C
ERR2009622	Paratyphi C
ERR2009623	Paratyphi C
ERR2009624	Paratyphi C
ERR2009625	Paratyphi C
ERR2009626	Paratyphi C
ERR2009627	Paratyphi C
ERR2009628	Paratyphi C
ERR2009629	Paratyphi C
ERR2009630	Paratyphi C
ERR2009631	Paratyphi C
ERR2009632	Paratyphi C
ERR2009633	Paratyphi C
ERR2009634	Paratyphi C
ERR2009635	Paratyphi C
ERR2009636	Paratyphi C
ERR2009637	Paratyphi C
ERR2009638	Paratyphi C
ERR2009639	Paratyphi C
ERR2009640	Paratyphi C
ERR2009641	Paratyphi C
ERR2009642	Paratyphi C
ERR2009643	Paratyphi C
ERR2009644	Paratyphi C
ERR2009645	Paratyphi C
ERR2009646	Paratyphi C
ERR2009647	Paratyphi C
ERR2009648	Paratyphi C
ERR2009649	Paratyphi C
ERR2009650	Paratyphi C
ERR2009651	Paratyphi C
ERR2009652	Paratyphi C
ERR2009653	Paratyphi C
ERR2009654	Paratyphi C
ERR2009655	Paratyphi C
ERR2009656	Paratyphi C
ERR2009657	Paratyphi C
ERR2009658	Paratyphi C
ERR2009659	Paratyphi C
ERR2009660	Paratyphi C
ERR2009661	Paratyphi C
ERR2009662	Paratyphi C
ERR2009663	Paratyphi C
ERR2009664	Paratyphi C
ERR2009665	Paratyphi C
ERR2009666	Paratyphi C
ERR2009667	Paratyphi C
ERR2009668	Paratyphi C
ERR2009669	Paratyphi C
ERR2009670	Paratyphi C
ERR2009671	Paratyphi C
ERR2009672	Paratyphi C
ERR2009673	Paratyphi C
ERR2009674	Paratyphi C
ERR2009675	Paratyphi C
ERR2009676	Paratyphi C
ERR2009677	Paratyphi C
ERR2009678	Paratyphi C
ERR2009679	Paratyphi C
ERR2009680	Paratyphi C
ERR2009681	Paratyphi C
ERR2009682	Paratyphi C
ERR2009683	Paratyphi C
ERR2009684	Paratyphi C
ERR2009685	Paratyphi C
ERR2009686	Paratyphi C
ERR2009687	Paratyphi C
ERR2009688	Paratyphi C
ERR2009689	Paratyphi C
ERR2009690	Paratyphi C
ERR2009691	Paratyphi C
ERR2009692	Paratyphi C
ERR2009693	Paratyphi C
ERR2009694	Paratyphi C
ERR2009695	Paratyphi C
ERR2009696	Paratyphi C
ERR2009697	Paratyphi C
ERR2009698	Paratyphi C
ERR2009699	Paratyphi C
ERR2009700	Paratyphi C
ERR2010791	Paratyphi C
ERR2011064	Paratyphi C
ERR2030248	Typhi
ERR2114798	Typhi
ERR2115654	Typhi
ERR2116057	Typhi
ERR2116066	Typhi
ERR2124055	Typhi
ERR2124056	Typhi
ERR2173673	Typhi
ERR2173680	Paratyphi A
ERR2193139	Paratyphi A
ERR2204203	Typhi
ERR2204204	Typhi
ERR2204205	Typhi
ERR2210492	Paratyphi B
ERR2210576	Paratyphi B
ERR2210641	Typhi
ERR2215174	Typhi
ERR226485	Paratyphi B
ERR226486	Typhi
ERR226487	Typhi
ERR226488	Typhi
ERR226489	Typhi
ERR226491	Typhi
ERR226492	Typhi
ERR226493	Typhi
ERR226494	Typhi
ERR226495	Typhi
ERR226496	Typhi
ERR226498	Typhi
ERR226501	Typhi
ERR226502	Typhi
ERR226503	Typhi
ERR226505	Typhi
ERR226506	Typhi
ERR226509	Typhi
ERR319402	Typhi
ERR319403	Typhi
ERR319404	Typhi
ERR319405	Typhi
ERR319406	Typhi
ERR319408	Typhi
ERR319409	Typhi
ERR319410	Typhi
ERR319411	Typhi
ERR319412	Typhi
ERR319413	Typhi
ERR319414	Typhi
ERR319415	Typhi
ERR319416	Typhi
ERR319417	Typhi
ERR319418	Typhi
ERR319419	Typhi
ERR319420	Typhi
ERR319421	Typhi
ERR319422	Typhi
ERR319423	Typhi
ERR319424	Typhi
ERR319425	Typhi
ERR319426	Typhi
ERR319427	Typhi
ERR319428	Typhi
ERR319429	Typhi
ERR319431	Typhi
ERR319432	Typhi
ERR319433	Typhi
ERR319434	Typhi
ERR319435	Typhi
ERR319436	Typhi
ERR319437	Typhi
ERR319438	Typhi
ERR319439	Typhi
ERR319440	Typhi
ERR319441	Typhi
ERR319442	Typhi
ERR319443	Typhi
ERR319444	Typhi
ERR319445	Typhi
ERR319446	Typhi
ERR319447	Typhi
ERR319448	Typhi
ERR319449	Typhi
ERR319450	Typhi
ERR319451	Typhi
ERR319452	Typhi
ERR319453	Typhi
ERR319454	Typhi
ERR319455	Typhi
ERR319456	Typhi
ERR319457	Typhi
ERR319458	Typhi
ERR319459	Typhi
ERR319460	Typhi
ERR319461	Typhi
ERR319462	Typhi
ERR319463	Typhi
ERR319464	Typhi
ERR319465	Typhi
ERR319466	Typhi
ERR319467	Typhi
ERR319468	Typhi
ERR319469	Typhi
ERR319470	Typhi
ERR319471	Typhi
ERR319472	Typhi
ERR319473	Typhi
ERR319474	Typhi
ERR319475	Typhi
ERR319476	Typhi
ERR319477	Typhi
ERR319478	Typhi
ERR319479	Typhi
ERR319480	Typhi
ERR319481	Typhi
ERR319482	Typhi
ERR319483	Typhi
ERR319484	Typhi
ERR319485	Typhi
ERR319486	Typhi
ERR319487	Typhi
ERR319488	Typhi
ERR319489	Typhi
ERR319490	Typhi
ERR319492	Typhi
ERR319494	Typhi
ERR319495	Typhi
ERR331205	Typhi
ERR331206	Typhi
ERR331207	Typhi
ERR331208	Typhi
ERR340757	Typhi
ERR340758	Typhi
ERR340759	Typhi
ERR340760	Typhi
ERR340761	Typhi
ERR340763	Typhi
ERR340765	Typhi
ERR340766	Typhi
ERR340767	Typhi
ERR340768	Typhi
ERR340769	Typhi
ERR340770	Typhi
ERR340771	Typhi
ERR340772	Typhi
ERR340773	Typhi
ERR340774	Typhi
ERR340775	Typhi
ERR343282	Typhi
ERR343300	Typhi
ERR343377	Typhi
ERR343395	Typhi
ERR349332	Typhi
ERR349333	Typhi
ERR349335	Typhi
ERR349336	Typhi
ERR349339	Typhi
ERR349428	Typhi
ERR349429	Typhi
ERR349431	Typhi
ERR349432	Typhi
ERR349435	Typhi
ERR349528	Typhi
ERR349623	Typhi
ERR352259	Typhi
ERR352266	Typhi
ERR352278	Typhi
ERR352284	Typhi
ERR352296	Typhi
ERR352335	Typhi
ERR352345	Typhi
ERR352352	Typhi
ERR352364	Typhi
ERR352370	Typhi
ERR352382	Typhi
ERR352421	Typhi
ERR352434	Typhi
ERR352520	Typhi
ERR357482	Typhi
ERR357483	Typhi
ERR357484	Typhi
ERR357489	Typhi
ERR357490	Typhi
ERR357491	Typhi
ERR357493	Typhi
ERR357494	Typhi
ERR357495	Typhi
ERR357496	Typhi
ERR357500	Typhi
ERR357501	Typhi
ERR357506	Typhi
ERR357507	Typhi
ERR357508	Typhi
ERR357512	Typhi
ERR357513	Typhi
ERR357514	Typhi
ERR357518	Typhi
ERR357519	Typhi
ERR357520	Typhi
ERR357525	Typhi
ERR357526	Typhi
ERR357527	Typhi
ERR357531	Typhi
ERR357532	Typhi
ERR357534	Typhi
ERR357535	Typhi
ERR357538	Typhi
ERR357539	Typhi
ERR357540	Typhi
ERR357543	Typhi
ERR357544	Typhi
ERR357545	Typhi
ERR357576	Typhi
ERR357577	Typhi
ERR357578	Typhi
ERR357583	Typhi
ERR357584	Typhi
ERR357585	Typhi
ERR357587	Typhi
ERR357588	Typhi
ERR357589	Typhi
ERR357590	Typhi
ERR357594	Typhi
ERR357595	Typhi
ERR357600	Typhi
ERR357601	Typhi
ERR357602	Typhi
ERR357606	Typhi
ERR357607	Typhi
ERR357608	Typhi
ERR357612	Typhi
ERR357613	Typhi
ERR357614	Typhi
ERR357619	Typhi
ERR357620	Typhi
ERR357621	Typhi
ERR357625	Typhi
ERR357626	Typhi
ERR357628	Typhi
ERR357629	Typhi
ERR357632	Typhi
ERR357633	Typhi
ERR357634	Typhi
ERR357637	Typhi
ERR357638	Typhi
ERR357639	Typhi
ERR357679	Typhi
ERR357682	Typhi
ERR357701	Typhi
ERR357703	Typhi
ERR357748	Typhi
ERR357765	Typhi
ERR357768	Typhi
ERR357787	Typhi
ERR357789	Typhi
ERR357834	Typhi
ERR360738	Typhi
ERR360739	Typhi
ERR360740	Typhi
ERR360741	Typhi
ERR360742	Typhi
ERR360743	Typhi
ERR360744	Typhi
ERR360745	Typhi
ERR360746	Typhi
ERR360747	Typhi
ERR360748	Typhi
ERR360749	Typhi
ERR360750	Typhi
ERR360751	Typhi
ERR360752	Typhi
ERR360754	Typhi
ERR360755	Typhi
ERR360756	Typhi
ERR360758	Typhi
ERR360759	Typhi
ERR360760	Typhi
ERR360761	Typhi
ERR360762	Typhi
ERR360763	Typhi
ERR360765	Typhi
ERR360766	Typhi
ERR360769	Typhi
ERR360770	Typhi
ERR360771	Typhi
ERR360772	Typhi
ERR360773	Typhi
ERR360774	Typhi
ERR360775	Typhi
ERR360776	Typhi
ERR360777	Typhi
ERR360778	Typhi
ERR360779	Typhi
ERR360780	Typhi
ERR360781	Typhi
ERR360782	Typhi
ERR360783	Typhi
ERR360785	Typhi
ERR360786	Typhi
ERR360787	Typhi
ERR360788	Typhi
ERR360789	Typhi
ERR360791	Typhi
ERR360792	Typhi
ERR360834	Typhi
ERR360835	Typhi
ERR360836	Typhi
ERR360837	Typhi
ERR360838	Typhi
ERR360839	Typhi
ERR360840	Typhi
ERR360841	Typhi
ERR360842	Typhi
ERR360843	Typhi
ERR360844	Typhi
ERR360845	Typhi
ERR360846	Typhi
ERR360847	Typhi
ERR360848	Typhi
ERR360850	Typhi
ERR360851	Typhi
ERR360852	Typhi
ERR360854	Typhi
ERR360855	Typhi
ERR360856	Typhi
ERR360857	Typhi
ERR360858	Typhi
ERR360859	Typhi
ERR360861	Typhi
ERR360862	Typhi
ERR360865	Typhi
ERR360866	Typhi
ERR360867	Typhi
ERR360868	Typhi
ERR360869	Typhi
ERR360870	Typhi
ERR360871	Typhi
ERR360872	Typhi
ERR360873	Typhi
ERR360874	Typhi
ERR360875	Typhi
ERR360876	Typhi
ERR360877	Typhi
ERR360878	Typhi
ERR360879	Typhi
ERR360881	Typhi
ERR360882	Typhi
ERR360883	Typhi
ERR360884	Typhi
ERR360885	Typhi
ERR360887	Typhi
ERR360888	Typhi
ERR360889	Typhi
ERR360890	Typhi
ERR360891	Typhi
ERR360892	Typhi
ERR360893	Typhi
ERR360894	Typhi
ERR360896	Typhi
ERR360898	Typhi
ERR360899	Typhi
ERR360900	Typhi
ERR360902	Typhi
ERR360903	Typhi
ERR360904	Typhi
ERR360905	Typhi
ERR360906	Typhi
ERR360907	Typhi
ERR360908	Typhi
ERR360909	Typhi
ERR360910	Typhi
ERR360911	Typhi
ERR360912	Typhi
ERR360914	Typhi
ERR360915	Typhi
ERR360916	Typhi
ERR360917	Typhi
ERR360919	Typhi
ERR360920	Typhi
ERR360921	Typhi
ERR360922	Typhi
ERR360923	Typhi
ERR360924	Typhi
ERR360925	Typhi
ERR360926	Typhi
ERR360927	Typhi
ERR360928	Typhi
ERR360929	Typhi
ERR360930	Typhi
ERR360931	Typhi
ERR360932	Typhi
ERR360934	Typhi
ERR360935	Typhi
ERR360936	Typhi
ERR360937	Typhi
ERR360938	Typhi
ERR360939	Typhi
ERR360940	Typhi
ERR360941	Typhi
ERR360942	Typhi
ERR360943	Typhi
ERR360944	Typhi
ERR360945	Typhi
ERR360946	Typhi
ERR360947	Typhi
ERR360948	Typhi
ERR360949	Typhi
ERR360950	Typhi
ERR360952	Typhi
ERR360954	Typhi
ERR360955	Typhi
ERR360956	Typhi
ERR360958	Typhi
ERR360959	Typhi
ERR360960	Typhi
ERR360961	Typhi
ERR360962	Typhi
ERR360963	Typhi
ERR360964	Typhi
ERR360965	Typhi
ERR360966	Typhi
ERR360967	Typhi
ERR360968	Typhi
ERR360970	Typhi
ERR360971	Typhi
ERR360972	Typhi
ERR360973	Typhi
ERR360975	Typhi
ERR360976	Typhi
ERR360977	Typhi
ERR360978	Typhi
ERR360979	Typhi
ERR360980	Typhi
ERR360981	Typhi
ERR360982	Typhi
ERR360983	Typhi
ERR360984	Typhi
ERR360985	Typhi
ERR360986	Typhi
ERR360987	Typhi
ERR360988	Typhi
ERR360990	Typhi
ERR360991	Typhi
ERR360992	Typhi
ERR360993	Typhi
ERR360994	Typhi
ERR360995	Typhi
ERR360996	Typhi
ERR360997	Typhi
ERR360998	Typhi
ERR360999	Typhi
ERR361000	Typhi
ERR420413	Typhi
ERR420414	Typhi
ERR420415	Typhi
ERR420416	Typhi
ERR420418	Typhi
ERR420419	Typhi
ERR420420	Typhi
ERR420421	Typhi
ERR420422	Typhi
ERR420423	Typhi
ERR420425	Typhi
ERR420428	Typhi
ERR420429	Typhi
ERR420430	Typhi
ERR420432	Typhi
ERR420433	Typhi
ERR586716	Typhi
ERR586717	Typhi
ERR586718	Typhi
ERR586719	Typhi
ERR586720	Typhi
ERR586721	Typhi
ERR586722	Typhi
ERR586723	Typhi
ERR586724	Typhi
ERR586725	Typhi
ERR586726	Typhi
ERR586727	Typhi
ERR586728	Typhi
ERR586729	Typhi
ERR586730	Typhi
ERR586731	Typhi
ERR586732	Typhi
ERR586733	Typhi
ERR586734	Typhi
ERR586735	Typhi
ERR586736	Typhi
ERR586737	Typhi
ERR586738	Typhi
ERR586739	Typhi
ERR586740	Typhi
ERR586741	Typhi
ERR586742	Typhi
ERR586743	Typhi
ERR586744	Typhi
ERR586745	Typhi
ERR586746	Typhi
ERR586747	Typhi
ERR586748	Typhi
ERR586749	Typhi
ERR586750	Typhi
ERR586751	Typhi
ERR586752	Typhi
ERR586753	Typhi
ERR586754	Typhi
ERR586755	Typhi
ERR586756	Typhi
ERR586757	Typhi
ERR586758	Typhi
ERR586759	Typhi
ERR586760	Typhi
ERR586761	Typhi
ERR586762	Typhi
ERR586763	Typhi
ERR586764	Typhi
ERR586765	Typhi
ERR586766	Typhi
ERR586767	Typhi
ERR586768	Typhi
ERR586769	Typhi
ERR586770	Typhi
ERR586771	Typhi
ERR586772	Typhi
ERR586773	Typhi
ERR586774	Typhi
ERR586775	Typhi
ERR586776	Typhi
ERR586777	Typhi
ERR586778	Typhi
ERR586779	Typhi
ERR586780	Typhi
ERR586781	Typhi
ERR586782	Typhi
ERR586783	Typhi
ERR586784	Typhi
ERR586785	Typhi
ERR586786	Typhi
ERR586787	Typhi
ERR586788	Typhi
ERR586789	Typhi
ERR586790	Typhi
ERR586791	Typhi
ERR586792	Typhi
ERR586793	Typhi
ERR586794	Typhi
ERR586795	Typhi
ERR586796	Typhi
ERR586797	Typhi
ERR586798	Typhi
ERR586799	Typhi
ERR586800	Typhi
ERR586801	Typhi
ERR586802	Typhi
ERR586803	Typhi
ERR586804	Typhi
ERR586805	Typhi
ERR586806	Typhi
ERR586807	Typhi
ERR586808	Typhi
ERR586809	Typhi
ERR586810	Typhi
ERR586811	Typhi
ERR586812	Typhi
ERR586813	Typhi
ERR586814	Typhi
ERR586815	Typhi
ERR586816	Typhi
ERR586817	Typhi
ERR586818	Typhi
ERR586819	Typhi
ERR586820	Typhi
ERR586821	Typhi
ERR586822	Typhi
ERR586823	Typhi
ERR586824	Typhi
ERR586825	Typhi
ERR586912	Typhi
ERR586914	Typhi
ERR586915	Typhi
ERR586917	Typhi
ERR586918	Typhi
ERR586919	Typhi
ERR586920	Typhi
ERR586921	Typhi
ERR658242	Paratyphi A
ERR658243	Paratyphi A
ERR658244	Paratyphi A
ERR658245	Paratyphi A
ERR658246	Paratyphi A
ERR658247	Paratyphi A
ERR658248	Paratyphi A
ERR658249	Paratyphi A
ERR658250	Paratyphi A
ERR658251	Paratyphi A
ERR658252	Paratyphi A
ERR658253	Paratyphi A
ERR658254	Paratyphi A
ERR658255	Paratyphi A
ERR658256	Paratyphi A
ERR658257	Paratyphi A
ERR658258	Paratyphi A
ERR658259	Paratyphi A
ERR658260	Paratyphi A
ERR658261	Paratyphi A
ERR658262	Paratyphi A
ERR658263	Paratyphi A
ERR658264	Paratyphi A
ERR658265	Paratyphi A
ERR658266	Paratyphi A
ERR658267	Paratyphi A
ERR658268	Paratyphi A
ERR658269	Paratyphi A
ERR658271	Paratyphi A
ERR658272	Paratyphi A
ERR658273	Paratyphi A
ERR658274	Paratyphi A
ERR658275	Paratyphi A
ERR658276	Paratyphi A
ERR658277	Paratyphi A
ERR658278	Paratyphi A
ERR658279	Paratyphi A
ERR658280	Paratyphi A
ERR658281	Paratyphi A
ERR658282	Paratyphi A
ERR658283	Paratyphi A
ERR658284	Paratyphi A
ERR658285	Paratyphi A
ERR658286	Paratyphi A
ERR658287	Paratyphi A
ERR658288	Paratyphi A
ERR658289	Paratyphi A
ERR658290	Paratyphi A
ERR662778	Typhi
ERR662779	Typhi
SRR1060627	Typhi
SRR1060641	Paratyphi A
SRR1060740	Typhi
SRR1144229	Typhi
SRR1635074	Paratyphi A
SRR1635079	Typhi
SRR1635095	Paratyphi A
SRR1635110	Typhi
SRR1635119	Paratyphi A
SRR1635125	Typhi
SRR1840586	Typhi
SRR1976295	Paratyphi A
SRR1976296	Paratyphi A
SRR2063223	Paratyphi A
SRR3048563	Paratyphi A
SRR3048567	Typhi
SRR3048755	Paratyphi A
SRR3048758	Typhi
SRR3048761	Typhi
SRR3048781	Paratyphi A
SRR3048826	Typhi
SRR3048855	Typhi
SRR3048859	Typhi
SRR3048864	Typhi
SRR3048871	Paratyphi A
SRR3048943	Typhi
SRR3048952	Paratyphi A
SRR3048958	Typhi
SRR3048978	Typhi
SRR3048982	Typhi
SRR3048984	Paratyphi A
SRR3048989	Typhi
SRR3049000	Paratyphi B
SRR3049006	Paratyphi A
SRR3049007	Paratyphi A
SRR3049025	Paratyphi A
SRR3049053	Typhi
SRR3049074	Paratyphi B
SRR3049090	Typhi
SRR3049096	Paratyphi A
SRR3049117	Typhi
SRR3049124	Typhi
SRR3049131	Paratyphi A
SRR3049159	Typhi
SRR3049165	Paratyphi A
SRR3049189	Typhi
SRR3049193	Typhi
SRR3049198	Typhi
SRR3049293	Typhi
SRR3049299	Typhi
SRR3049301	Typhi
SRR3049326	Paratyphi A
SRR3049328	Paratyphi A
SRR3049334	Paratyphi A
SRR3049355	Typhi
SRR3049411	Typhi
SRR3049468	Paratyphi A
SRR3049469	Paratyphi A
SRR3049470	Paratyphi A
SRR3049538	Paratyphi A
SRR3049558	Paratyphi A
SRR3049570	Paratyphi A
SRR3049581	Typhi
SRR3049590	Typhi
SRR3049651	Paratyphi A
SRR3049676	Typhi
SRR3049681	Paratyphi A
SRR3049719	Typhi
SRR3049748	Paratyphi A
SRR3049768	Paratyphi A
SRR3049794	Paratyphi A
SRR3049812	Paratyphi A
SRR3049814	Typhi
SRR3049819	Paratyphi A
SRR3049855	Typhi
SRR3049858	Paratyphi A
SRR3049896	Typhi
SRR3049899	Paratyphi A
SRR3049936	Typhi
SRR3049962	Paratyphi A
SRR3286567	Typhi
SRR3286712	Paratyphi A
SRR3286713	Typhi
SRR3286917	Typhi
SRR3286960	Typhi
SRR3286966	Paratyphi A
SRR3321530	Typhi
SRR3322055	Typhi
SRR3322067	Typhi
SRR3322095	Typhi
SRR3322209	Paratyphi A
SRR3322261	Typhi
SRR3322330	Paratyphi A
SRR3322359	Paratyphi B
SRR3322415	Typhi
SRR3322588	Typhi
SRR3322740	Paratyphi A
SRR3322999	Paratyphi A
SRR3323026	Paratyphi B
SRR3323041	Typhi
SRR4063806	Typhi
SRR4063807	Typhi
SRR4063808	Typhi
SRR4063809	Typhi
SRR4063810	Typhi
SRR4063811	Typhi
SRR4063812	Typhi
SRR4063813	Typhi
SRR4063814	Typhi
SRR5193310	Typhi
SRR5193366	Typhi
SRR5193490	Paratyphi A
SRR5193520	Typhi
SRR5193583	Paratyphi A
SRR5193655	Paratyphi A
SRR5193808	Paratyphi A
SRR5193825	Typhi
SRR5193903	Typhi
SRR5193921	Paratyphi A
SRR5193999	Paratyphi B
SRR5194046	Typhi
SRR5194121	Typhi
SRR5194302	Typhi
SRR5194329	Paratyphi A
SRR5215477	Typhi
SRR5215711	Typhi
SRR5215719	Paratyphi A
SRR5216211	Paratyphi A
SRR5216468	Typhi
SRR5216612	Typhi
SRR5500421	Typhi
SRR5500422	Typhi
SRR5500423	Typhi
SRR5500424	Typhi
SRR5500425	Typhi
SRR5500426	Typhi
SRR5500427	Typhi
SRR5500429	Typhi
SRR5500430	Typhi
SRR5500431	Typhi
SRR5500432	Typhi
SRR5500433	Typhi
SRR5500434	Typhi
SRR5500435	Typhi
SRR5500436	Typhi
SRR5500437	Typhi
SRR5500438	Typhi
SRR5500439	Typhi
SRR5500440	Typhi
SRR5500442	Typhi
SRR5500443	Typhi
SRR5500444	Typhi
SRR5500445	Typhi
SRR5500446	Typhi
SRR5500447	Typhi
SRR5500448	Typhi
SRR5500449	Typhi
SRR5500450	Typhi
SRR5500451	Typhi
SRR5500452	Typhi
SRR5500453	Typhi
SRR5500454	Typhi
SRR5500455	Typhi
SRR5500456	Typhi
SRR5500457	Typhi
SRR5500458	Typhi
SRR5500459	Typhi
SRR5500460	Typhi
SRR5500461	Typhi
SRR5500462	Typhi
SRR5500463	Typhi
SRR5500464	Typhi
SRR5500465	Typhi
SRR5500466	Typhi
SRR5500467	Typhi
SRR5500468	Typhi
SRR5500469	Typhi
SRR5500470	Typhi
SRR5500471	Typhi
SRR5500472	Typhi
SRR5500473	Typhi
SRR5500474	Typhi
SRR5500475	Typhi
SRR5500476	Typhi
SRR5500477	Typhi
SRR5500478	Typhi
SRR5500479	Typhi
SRR5500480	Typhi
SRR5500481	Typhi
SRR5500482	Typhi
SRR5500483	Typhi
SRR5500484	Typhi
SRR5500485	Typhi
SRR5500486	Typhi
SRR5500487	Typhi
SRR5500488	Typhi
SRR5500489	Typhi
SRR5500490	Typhi
SRR5500491	Typhi
SRR5500492	Typhi
SRR5500493	Typhi
SRR5500494	Typhi
SRR5500495	Typhi
SRR5500496	Typhi
SRR5500497	Typhi
SRR5500498	Typhi
SRR5500499	Typhi
